"Parameter","Value","Units","Source"
"Ka",1.5,"1/hr","Verebey 1976"
"Fmax",0.5,"fraction","Fitted"
"V1",500,"L","Fitted"
"V2",800,"L","Fitted"
"Q",150,"L/hr","Fitted"
"CL",87,"L/hr","Fitted"
"Kp",0.028,"ratio","Literature"
"t1/2_NTX",3.9836044859767,"hr","Calculated"
"t1/2_met",13.8629436111989,"hr","Calculated"
"OGF_Emax",35,"%","Calibrated"
"OGF_EC50",0.03,"nM","Calibrated"
"Hyper_Emax",25,"%","Calibrated"
"Hyper_EC50",0.5,"nM","Calibrated"
"Cmax_4.5mg_nM",8.04576267776738,"nM","Model output"
"CNS_Cav_4.5mg_nM",0.0528007444432052,"nM","Model output"
"Pain_reduction_4.5mg",24.2293830530979,"%","Model output"
