"Parameter","PRCC","Abs_PRCC","Output"
"k_hyper",0.757199079989778,0.757199079989778,"Pain_VAS"
"Kd_OPRM1",-0.696045956066179,0.696045956066179,"Pain_VAS"
"k_up",-0.0876605295614396,0.0876605295614396,"Pain_VAS"
"kT_TNF",0.068650096112179,0.068650096112179,"Pain_VAS"
"kT_IL6",-0.0574366381848687,0.0574366381848687,"Pain_VAS"
"kdIL6",0.0493676596406627,0.0493676596406627,"Pain_VAS"
"k_reb",0.0480680896454405,0.0480680896454405,"Pain_VAS"
"kIL6_BDNF",0.0304678940877121,0.0304678940877121,"Pain_VAS"
"kon",-0.0277976421960244,0.0277976421960244,"Pain_VAS"
"kdTNF",-0.0232242580473116,0.0232242580473116,"Pain_VAS"
"koff",-0.0162201802242247,0.0162201802242247,"Pain_VAS"
"kB_TAC1",0.00200757786197624,0.00200757786197624,"Pain_VAS"
