"Parameter","Mean_SI","Max_SI"
"k_hyper",0.225575716298925,0.375410605340048
"Em_BDNF",0.185876866671179,0.268163436076085
"Em_TNF",0.112397652595642,0.192256321946649
"Kd_OPRM1",0.0745402883678252,0.109902423250451
"k_up",0.00309626899259424,0.00378639964213352
"k_reb",0.00245871149289054,0.00430072040382955
"kdIL6",0.00174241424651692,0.00206831144126898
"kIL6_BDNF",0.00162399190033301,0.00195337253032445
"kB_TAC1",0.00154027386505111,0.00204738861124025
"kdTNF",0.00112169245054406,0.0017166873852547
"kT_IL6",0.00058604706065118,0.000854270363823414
"kT_TNF",0.000563088531782707,0.000809216893343314
"kT_IL17",0.000214510856336351,0.000311293100340069
"kon",2.0049895816662e-06,4.45319913377563e-06
"koff",1.93658830966712e-06,4.00449860775726e-06
